Année,Juridiction,Valeur (1 000 dollars),Secteur
2017,Terre-Neuve-et-Labrador,0,Fabrication de produits en bois
2017,Territoires du Nord-Ouest,0,Exploitation forestière
2017,Territoires du Nord-Ouest,0,Fabrication du papier
2017,Territoires du Nord-Ouest,0,Fabrication de produits en bois
2017,Nouvelle-Écosse,28052,Exploitation forestière
2017,Nouvelle-Écosse,0,Fabrication du papier
2017,Nouvelle-Écosse,0,Fabrication de produits en bois
2017,Nunavut,0,Exploitation forestière
2017,Nunavut,0,Fabrication du papier
2017,Nunavut,0,Fabrication de produits en bois
2017,Ontario,187205,Exploitation forestière
2017,Ontario,1225747,Fabrication du papier
2017,Ontario,950981,Fabrication de produits en bois
2017,Île-du-Prince-Édouard,1867,Exploitation forestière
2017,Île-du-Prince-Édouard,0,Fabrication du papier
2017,Île-du-Prince-Édouard,0,Fabrication de produits en bois
2017,Québec,325145,Exploitation forestière
2017,Québec,1059070,Fabrication du papier
2017,Québec,1334841,Fabrication de produits en bois
2017,Saskatchewan,21283,Exploitation forestière
2017,Saskatchewan,0,Fabrication du papier
2017,Saskatchewan,100440,Fabrication de produits en bois
2017,Yukon,126,Exploitation forestière
2017,Yukon,0,Fabrication du papier
2017,Yukon,0,Fabrication de produits en bois
2018,Canada,1782587,Exploitation forestière
2018,Canada,3694284,Fabrication du papier
2018,Canada,5328871,Fabrication de produits en bois
2018,Alberta,177726,Exploitation forestière
2018,Alberta,0,Fabrication du papier
2018,Alberta,685698,Fabrication de produits en bois
2018,Colombie-Britannique,878159,Exploitation forestière
2018,Colombie-Britannique,624493,Fabrication du papier
2018,Colombie-Britannique,1661009,Fabrication de produits en bois
2018,Manitoba,11581,Exploitation forestière
2018,Manitoba,0,Fabrication du papier
2018,Manitoba,107649,Fabrication de produits en bois
2018,Nouveau-Brunswick,105269,Exploitation forestière
2018,Nouveau-Brunswick,237870,Fabrication du papier
2018,Nouveau-Brunswick,0,Fabrication de produits en bois
2018,Terre-Neuve-et-Labrador,12005,Exploitation forestière
2018,Terre-Neuve-et-Labrador,0,Fabrication du papier
2018,Terre-Neuve-et-Labrador,0,Fabrication de produits en bois
2018,Territoires du Nord-Ouest,0,Exploitation forestière
2018,Territoires du Nord-Ouest,0,Fabrication du papier
2018,Territoires du Nord-Ouest,0,Fabrication de produits en bois
2018,Nouvelle-Écosse,28746,Exploitation forestière
2018,Nouvelle-Écosse,0,Fabrication du papier
2018,Nouvelle-Écosse,0,Fabrication de produits en bois
2018,Nunavut,0,Exploitation forestière
2018,Nunavut,0,Fabrication du papier
2018,Nunavut,0,Fabrication de produits en bois
2018,Ontario,204004,Exploitation forestière
2018,Ontario,1265158,Fabrication du papier
2018,Ontario,988772,Fabrication de produits en bois
2018,Île-du-Prince-Édouard,1798,Exploitation forestière
2018,Île-du-Prince-Édouard,0,Fabrication du papier
2018,Île-du-Prince-Édouard,0,Fabrication de produits en bois
2018,Québec,343808,Exploitation forestière
2018,Québec,1098848,Fabrication du papier
2018,Québec,1469058,Fabrication de produits en bois
2018,Saskatchewan,19362,Exploitation forestière
2018,Saskatchewan,0,Fabrication du papier
2018,Saskatchewan,97538,Fabrication de produits en bois
2018,Yukon,0,Exploitation forestière
2018,Yukon,0,Fabrication du papier
2018,Yukon,0,Fabrication de produits en bois
2019,Canada,1806850,Exploitation forestière
2019,Canada,3788146,Fabrication du papier
2019,Canada,5207906,Fabrication de produits en bois
2019,Alberta,196677,Exploitation forestière
2019,Alberta,261163,Fabrication du papier
2019,Alberta,684992,Fabrication de produits en bois
2019,Colombie-Britannique,874316,Exploitation forestière
2019,Colombie-Britannique,616296,Fabrication du papier
2019,Colombie-Britannique,1495990,Fabrication de produits en bois
2019,Manitoba,12309,Exploitation forestière
2019,Manitoba,0,Fabrication du papier
2019,Manitoba,109139,Fabrication de produits en bois
2019,Nouveau-Brunswick,108400,Exploitation forestière
2019,Nouveau-Brunswick,0,Fabrication du papier
2019,Nouveau-Brunswick,0,Fabrication de produits en bois
2019,Terre-Neuve-et-Labrador,9913,Exploitation forestière
2019,Terre-Neuve-et-Labrador,0,Fabrication du papier
2019,Terre-Neuve-et-Labrador,0,Fabrication de produits en bois
2019,Territoires du Nord-Ouest,0,Exploitation forestière
2019,Territoires du Nord-Ouest,0,Fabrication du papier
2019,Territoires du Nord-Ouest,0,Fabrication de produits en bois
2019,Nouvelle-Écosse,29260,Exploitation forestière
2019,Nouvelle-Écosse,0,Fabrication du papier
2019,Nouvelle-Écosse,0,Fabrication de produits en bois
2019,Nunavut,0,Exploitation forestière
2019,Nunavut,0,Fabrication du papier
2019,Nunavut,0,Fabrication de produits en bois
2019,Ontario,193001,Exploitation forestière
2019,Ontario,1306293,Fabrication du papier
2019,Ontario,1019219,Fabrication de produits en bois
2019,Île-du-Prince-Édouard,1771,Exploitation forestière
2019,Île-du-Prince-Édouard,0,Fabrication du papier
2019,Île-du-Prince-Édouard,0,Fabrication de produits en bois
2019,Québec,360126,Exploitation forestière
2019,Québec,1132555,Fabrication du papier
2019,Québec,1452521,Fabrication de produits en bois
2019,Saskatchewan,20898,Exploitation forestière
2019,Saskatchewan,0,Fabrication du papier
2019,Saskatchewan,96301,Fabrication de produits en bois
2019,Yukon,0,Exploitation forestière
2019,Yukon,0,Fabrication du papier
