Année,Juridiction,Origine,Superficie (en hectare),Nombre
2002,Nouvelle-Écosse,Indéterminée,11,30
2003,Nouvelle-Écosse,Activité humaine,1236,254
2003,Nouvelle-Écosse,Foudre,0,4
2003,Nouvelle-Écosse,Indéterminée,21,14
2004,Nouvelle-Écosse,Activité humaine,288,250
2004,Nouvelle-Écosse,Foudre,0,4
2004,Nouvelle-Écosse,Indéterminée,2,5
2005,Nouvelle-Écosse,Activité humaine,472,261
2005,Nouvelle-Écosse,Foudre,0,4
2005,Nouvelle-Écosse,Indéterminée,23,24
2006,Nouvelle-Écosse,Activité humaine,1562,203
2006,Nouvelle-Écosse,Indéterminée,484,13
2007,Nouvelle-Écosse,Activité humaine,510,324
2007,Nouvelle-Écosse,Foudre,0,2
2007,Nouvelle-Écosse,Indéterminée,181,61
2008,Nouvelle-Écosse,Activité humaine,2638,212
2008,Nouvelle-Écosse,Foudre,0,1
2008,Nouvelle-Écosse,Indéterminée,62,35
2009,Nouvelle-Écosse,Activité humaine,858,161
2009,Nouvelle-Écosse,Brûlage dirigé,33,1
2009,Nouvelle-Écosse,Indéterminée,25,29
2010,Nouvelle-Écosse,Activité humaine,0,1
2010,Nouvelle-Écosse,Brûlage dirigé,2,1
2010,Nouvelle-Écosse,Indéterminée,436,248
2011,Nouvelle-Écosse,Indéterminée,150,114
2012,Nouvelle-Écosse,Foudre,3,1
2012,Nouvelle-Écosse,Indéterminée,362,352
2013,Nouvelle-Écosse,Activité humaine,295,157
2013,Nouvelle-Écosse,Foudre,0,1
2013,Nouvelle-Écosse,Brûlage dirigé,6,3
2013,Nouvelle-Écosse,Indéterminée,6,13
2014,Nouvelle-Écosse,Activité humaine,537,157
2014,Nouvelle-Écosse,Indéterminée,28,15
2015,Nouvelle-Écosse,Activité humaine,512,236
2015,Nouvelle-Écosse,Brûlage dirigé,34,1
2015,Nouvelle-Écosse,Indéterminée,5,12
2016,Nouvelle-Écosse,Activité humaine,775,246
2016,Nouvelle-Écosse,Foudre,18,11
2016,Nouvelle-Écosse,Brûlage dirigé,5,2
2016,Nouvelle-Écosse,Indéterminée,10,12
2017,Nouvelle-Écosse,Activité humaine,573,176
2017,Nouvelle-Écosse,Brûlage dirigé,0,1
2018,Nouvelle-Écosse,Activité humaine,196,189
2018,Nouvelle-Écosse,Foudre,2,4
2018,Nouvelle-Écosse,Brûlage dirigé,1,1
2018,Nouvelle-Écosse,Indéterminée,0,2
2019,Nouvelle-Écosse,Activité humaine,134,137
2019,Nouvelle-Écosse,Foudre,1,2
2019,Nouvelle-Écosse,Indéterminée,2,4
2020,Nouvelle-Écosse,Activité humaine,678,161
2020,Nouvelle-Écosse,Foudre,18,16
2020,Nouvelle-Écosse,Indéterminée,1,1
2021,Nouvelle-Écosse,Activité humaine,192,107
2021,Nouvelle-Écosse,Foudre,5,6
2022,Nouvelle-Écosse,Activité humaine,3357,118
2022,Nouvelle-Écosse,Cause naturelle,1,3
2022,Nouvelle-Écosse,Indéterminée,25,31
2023,Nouvelle-Écosse,Indéterminée,25093,220
2000,Ontario,Activité humaine,1421,443
2000,Ontario,Foudre,5293,199
2000,Ontario,Indéterminée,65,11
2001,Ontario,Activité humaine,1520,545
2001,Ontario,Foudre,9256,1037
2001,Ontario,Indéterminée,90,14
2002,Ontario,Activité humaine,2352,439
2002,Ontario,Foudre,178042,703
2002,Ontario,Indéterminée,1851,21
2003,Ontario,Activité humaine,8398,477
2003,Ontario,Foudre,309985,519
2003,Ontario,Indéterminée,734,47
2004,Ontario,Activité humaine,1588,309
2004,Ontario,Foudre,120,113
2004,Ontario,Indéterminée,10,13
2005,Ontario,Activité humaine,3168,593
2005,Ontario,Foudre,39139,1358
2005,Ontario,Indéterminée,44,27
2006,Ontario,Activité humaine,2113,500
2006,Ontario,Foudre,145303,1761
2006,Ontario,Indéterminée,2573,31
2007,Ontario,Activité humaine,33191,565
2007,Ontario,Foudre,6747,533
2007,Ontario,Brûlage dirigé,25,1
2007,Ontario,Indéterminée,714,30
2008,Ontario,Activité humaine,107,204
2008,Ontario,Foudre,1194,118
2008,Ontario,Brûlage dirigé,100,1
2008,Ontario,Indéterminée,17,21
2009,Ontario,Activité humaine,375,251
2009,Ontario,Foudre,20308,121
2009,Ontario,Brûlage dirigé,1,1
2009,Ontario,Indéterminée,9,18
2010,Ontario,Activité humaine,2609,541
2010,Ontario,Foudre,10109,363
2010,Ontario,Brûlage dirigé,7,1
2010,Ontario,Indéterminée,2111,28
2011,Ontario,Activité humaine,1852,458
2011,Ontario,Foudre,632087,847
2011,Ontario,Brûlage dirigé,600,2
2011,Ontario,Indéterminée,1438,33
2012,Ontario,Activité humaine,43439,614
2012,Ontario,Foudre,107923,985
2012,Ontario,Brûlage dirigé,1444,6
2012,Ontario,Indéterminée,236,30
2013,Ontario,Activité humaine,824,330
2013,Ontario,Foudre,50216,239
2013,Ontario,Brûlage dirigé,1,1
2013,Ontario,Indéterminée,50,12
2014,Ontario,Activité humaine,242,180
2014,Ontario,Foudre,5144,117
2014,Ontario,Brûlage dirigé,985,6
2014,Ontario,Indéterminée,1,6
2015,Ontario,Activité humaine,1244,345
2015,Ontario,Foudre,38064,319
2015,Ontario,Brûlage dirigé,3421,4
2015,Ontario,Indéterminée,6,7
2016,Ontario,Activité humaine,6116,454
2016,Ontario,Foudre,76922,174
2016,Ontario,Brûlage dirigé,3096,5
2016,Ontario,Indéterminée,76,24
2017,Ontario,Activité humaine,87,209
2017,Ontario,Foudre,112233,556
2017,Ontario,Brûlage dirigé,445,4
2017,Ontario,Indéterminée,164,12
2018,Ontario,Activité humaine,15994,378
2018,Ontario,Foudre,249676,943
2018,Ontario,Brûlage dirigé,7,6
2018,Ontario,Indéterminée,20,12
2019,Ontario,Activité humaine,16274,278
2019,Ontario,Foudre,253446,255
2019,Ontario,Brûlage dirigé,1,2
2019,Ontario,Indéterminée,6,6
2020,Ontario,Activité humaine,985,231
2020,Ontario,Foudre,14471,368
2020,Ontario,Brûlage dirigé,4,2
2020,Ontario,Indéterminée,24,13
2021,Ontario,Activité humaine,5536,262
2021,Ontario,Foudre,779024,934
2021,Ontario,Brûlage dirigé,2,4
2021,Ontario,Indéterminée,6,6
2022,Ontario,Activité humaine,2288,186
2022,Ontario,Cause naturelle,270,88
2022,Ontario,Brûlage dirigé,1,2
2022,Ontario,Indéterminée,68,5
2023,Ontario,Indéterminée,441474,743
2000,Île-du-Prince-Édouard,Activité humaine,0,0
2000,Île-du-Prince-Édouard,Foudre,0,0
2000,Île-du-Prince-Édouard,Indéterminée,0,0
2001,Île-du-Prince-Édouard,Activité humaine,13,32
