Année,Juridiction,Industrie,Produit,Valeur (1 000 dollars)
2014,Manitoba,Fabrication de produits en bois,Scieries et préservation du bois,0
2014,Manitoba,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",201070
2014,Manitoba,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2014,Nouveau-Brunswick,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2014,Nouveau-Brunswick,Fabrication de produits en bois,Scieries et préservation du bois,0
2014,Nouveau-Brunswick,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2014,Nouveau-Brunswick,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2014,Terre-Neuve-et-Labrador,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2014,Terre-Neuve-et-Labrador,Fabrication de produits en bois,Scieries et préservation du bois,0
2014,Terre-Neuve-et-Labrador,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2014,Terre-Neuve-et-Labrador,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2014,Territoires du Nord-Ouest,Fabrication de produits en bois,Fabrication totale de produits du bois,94
2014,Territoires du Nord-Ouest,Fabrication de produits en bois,Scieries et préservation du bois,0
2014,Territoires du Nord-Ouest,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2014,Territoires du Nord-Ouest,Fabrication de produits en bois,Autres fabrications de produits du bois,94
2014,Nouvelle-Écosse,Fabrication de produits en bois,Fabrication totale de produits du bois,93872
2014,Nouvelle-Écosse,Fabrication de produits en bois,Scieries et préservation du bois,0
2014,Nouvelle-Écosse,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2014,Nouvelle-Écosse,Fabrication de produits en bois,Autres fabrications de produits du bois,93872
2014,Nunavut,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2014,Nunavut,Fabrication de produits en bois,Scieries et préservation du bois,0
2014,Nunavut,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2014,Nunavut,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2014,Ontario,Fabrication de produits en bois,Fabrication totale de produits du bois,5765462
2014,Ontario,Fabrication de produits en bois,Scieries et préservation du bois,2132880
2014,Ontario,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",1962132
2014,Ontario,Fabrication de produits en bois,Autres fabrications de produits du bois,1670450
2014,Île-du-Prince-Édouard,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2014,Île-du-Prince-Édouard,Fabrication de produits en bois,Scieries et préservation du bois,0
2014,Île-du-Prince-Édouard,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2014,Île-du-Prince-Édouard,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2014,Québec,Fabrication de produits en bois,Fabrication totale de produits du bois,10929367
2014,Québec,Fabrication de produits en bois,Scieries et préservation du bois,5790972
2014,Québec,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",2774178
2014,Québec,Fabrication de produits en bois,Autres fabrications de produits du bois,2364217
2014,Saskatchewan,Fabrication de produits en bois,Fabrication totale de produits du bois,528896
2014,Saskatchewan,Fabrication de produits en bois,Scieries et préservation du bois,0
2014,Saskatchewan,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",528896
2014,Saskatchewan,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2014,Yukon,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2014,Yukon,Fabrication de produits en bois,Scieries et préservation du bois,0
2014,Yukon,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2014,Yukon,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2015,Canada,Fabrication de produits en bois,Fabrication totale de produits du bois,47142025
2015,Canada,Fabrication de produits en bois,Scieries et préservation du bois,28234834
2015,Canada,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",11217242
2015,Canada,Fabrication de produits en bois,Autres fabrications de produits du bois,7689949
2015,Alberta,Fabrication de produits en bois,Fabrication totale de produits du bois,5799420
2015,Alberta,Fabrication de produits en bois,Scieries et préservation du bois,3370388
2015,Alberta,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",1648610
2015,Alberta,Fabrication de produits en bois,Autres fabrications de produits du bois,780422
2015,Colombie-Britannique,Fabrication de produits en bois,Fabrication totale de produits du bois,18236330
2015,Colombie-Britannique,Fabrication de produits en bois,Scieries et préservation du bois,13131386
2015,Colombie-Britannique,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",3118688
2015,Colombie-Britannique,Fabrication de produits en bois,Autres fabrications de produits du bois,1986256
2015,Manitoba,Fabrication de produits en bois,Fabrication totale de produits du bois,145628
2015,Manitoba,Fabrication de produits en bois,Scieries et préservation du bois,0
2015,Manitoba,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",145628
2015,Manitoba,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2015,Nouveau-Brunswick,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2015,Nouveau-Brunswick,Fabrication de produits en bois,Scieries et préservation du bois,0
2015,Nouveau-Brunswick,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2015,Nouveau-Brunswick,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2015,Terre-Neuve-et-Labrador,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2015,Terre-Neuve-et-Labrador,Fabrication de produits en bois,Scieries et préservation du bois,0
2015,Terre-Neuve-et-Labrador,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2015,Terre-Neuve-et-Labrador,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2015,Territoires du Nord-Ouest,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2015,Territoires du Nord-Ouest,Fabrication de produits en bois,Scieries et préservation du bois,0
2015,Territoires du Nord-Ouest,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2015,Territoires du Nord-Ouest,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2015,Nouvelle-Écosse,Fabrication de produits en bois,Fabrication totale de produits du bois,79943
2015,Nouvelle-Écosse,Fabrication de produits en bois,Scieries et préservation du bois,0
2015,Nouvelle-Écosse,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2015,Nouvelle-Écosse,Fabrication de produits en bois,Autres fabrications de produits du bois,79943
