Année,Juridiction,Insecte espèce,Superficie défoliée (hectares)
2021,Alberta,Tordeuse bisannuelle de l’épinette,927
2021,Alberta,"Tordeuse occidentale de l'épinette",0
2022,Alberta,Noctuelle décolorée,34860
2022,Alberta,Diprion du sapin,0
2022,Alberta,"Tordeuse à tête noire de l'Ouest",0
2022,Alberta,Arpenteuse de Bruce,0
2022,Alberta,Livrée des forêts,0
2022,Alberta,Arpenteuse de la pruche,0
2022,Alberta,Tordeuse du pin gris,0
2022,Alberta,Tordeuse du tremble,109407
2022,Alberta,Dendroctone du pin ponderosa,8981
2022,Alberta,Spongieuse,0
2022,Alberta,"Dendroctone de l'épinette",182
2022,Alberta,"Tordeuse des bourgeons de l'épinette",68069
2022,Alberta,Diprion de Swaine,0
2022,Alberta,Tordeuse bisannuelle de l’épinette,0
2022,Alberta,"Tordeuse occidentale de l'épinette",0
2023,Alberta,Noctuelle décolorée,53346
2023,Alberta,Diprion du sapin,0
2023,Alberta,"Tordeuse à tête noire de l'Ouest",0
2023,Alberta,Arpenteuse de Bruce,0
2023,Alberta,Livrée des forêts,0
2023,Alberta,Arpenteuse de la pruche,0
2023,Alberta,Tordeuse du pin gris,0
2023,Alberta,Tordeuse du tremble,23133
2023,Alberta,Dendroctone du pin ponderosa,1934
2023,Alberta,Spongieuse,0
2023,Alberta,"Dendroctone de l'épinette",0
2023,Alberta,"Tordeuse des bourgeons de l'épinette",73183
2023,Alberta,Diprion de Swaine,0
2023,Alberta,Tordeuse bisannuelle de l’épinette,0
2023,Alberta,"Tordeuse occidentale de l'épinette",0
2010,Colombie-Britannique,Noctuelle décolorée,0
2010,Colombie-Britannique,Diprion du sapin,0
2010,Colombie-Britannique,"Tordeuse à tête noire de l'Ouest",93241
2010,Colombie-Britannique,Arpenteuse de Bruce,1675014
2010,Colombie-Britannique,Livrée des forêts,132626
2010,Colombie-Britannique,Arpenteuse de la pruche,3318
2010,Colombie-Britannique,Tordeuse du pin gris,0
2010,Colombie-Britannique,Tordeuse du tremble,0
2010,Colombie-Britannique,Dendroctone du pin ponderosa,6251586
2010,Colombie-Britannique,Spongieuse,0
2010,Colombie-Britannique,"Dendroctone de l'épinette",30096
2010,Colombie-Britannique,"Tordeuse des bourgeons de l'épinette",0
2010,Colombie-Britannique,Diprion de Swaine,0
2010,Colombie-Britannique,Tordeuse bisannuelle de l’épinette,97084
2010,Colombie-Britannique,"Tordeuse occidentale de l'épinette",500121
2011,Colombie-Britannique,Noctuelle décolorée,0
2011,Colombie-Britannique,Diprion du sapin,0
2011,Colombie-Britannique,"Tordeuse à tête noire de l'Ouest",41112
2011,Colombie-Britannique,Arpenteuse de Bruce,9043
2011,Colombie-Britannique,Livrée des forêts,453137
2011,Colombie-Britannique,Arpenteuse de la pruche,7051
2011,Colombie-Britannique,Tordeuse du pin gris,0
2011,Colombie-Britannique,Tordeuse du tremble,51936
