Année,Juridiction,"Nombre d'emplois",Secteur
2006,Québec,38440,Fabrication de produits en bois
2006,Saskatchewan,610,Foresterie et exploitation forestière
2006,Saskatchewan,305,Fabrication du papier
2006,Saskatchewan,1210,Activités de soutien à la foresterie
2006,Saskatchewan,2100,Fabrication de produits en bois
2006,Yukon,25,Foresterie et exploitation forestière
2006,Yukon,0,Fabrication du papier
2006,Yukon,10,Activités de soutien à la foresterie
2006,Yukon,30,Fabrication de produits en bois
2007,Canada,45110,Foresterie et exploitation forestière
2007,Canada,78080,Fabrication du papier
2007,Canada,21175,Activités de soutien à la foresterie
2007,Canada,114225,Fabrication de produits en bois
2007,Alberta,2700,Foresterie et exploitation forestière
2007,Alberta,3475,Fabrication du papier
2007,Alberta,1940,Activités de soutien à la foresterie
2007,Alberta,11255,Fabrication de produits en bois
2007,Colombie-Britannique,16760,Foresterie et exploitation forestière
2007,Colombie-Britannique,13395,Fabrication du papier
2007,Colombie-Britannique,7670,Activités de soutien à la foresterie
2007,Colombie-Britannique,33560,Fabrication de produits en bois
2007,Manitoba,550,Foresterie et exploitation forestière
2007,Manitoba,1760,Fabrication du papier
2007,Manitoba,575,Activités de soutien à la foresterie
2007,Manitoba,4200,Fabrication de produits en bois
2007,Nouveau-Brunswick,3035,Foresterie et exploitation forestière
2007,Nouveau-Brunswick,3960,Fabrication du papier
2007,Nouveau-Brunswick,1240,Activités de soutien à la foresterie
2007,Nouveau-Brunswick,4180,Fabrication de produits en bois
2007,Terre-Neuve-et-Labrador,795,Foresterie et exploitation forestière
2007,Terre-Neuve-et-Labrador,1005,Fabrication du papier
2007,Terre-Neuve-et-Labrador,260,Activités de soutien à la foresterie
2007,Terre-Neuve-et-Labrador,485,Fabrication de produits en bois
2007,Territoires du Nord-Ouest,15,Foresterie et exploitation forestière
2007,Territoires du Nord-Ouest,0,Fabrication du papier
2007,Territoires du Nord-Ouest,185,Activités de soutien à la foresterie
2007,Territoires du Nord-Ouest,0,Fabrication de produits en bois
2007,Nouvelle-Écosse,1850,Foresterie et exploitation forestière
2007,Nouvelle-Écosse,2490,Fabrication du papier
2007,Nouvelle-Écosse,525,Activités de soutien à la foresterie
2007,Nouvelle-Écosse,2990,Fabrication de produits en bois
2007,Nunavut,0,Foresterie et exploitation forestière
2007,Nunavut,0,Fabrication du papier
2007,Nunavut,0,Activités de soutien à la foresterie
2007,Nunavut,0,Fabrication de produits en bois
2007,Ontario,7090,Foresterie et exploitation forestière
2007,Ontario,26445,Fabrication du papier
2007,Ontario,2595,Activités de soutien à la foresterie
2007,Ontario,23890,Fabrication de produits en bois
2007,Île-du-Prince-Édouard,55,Foresterie et exploitation forestière
2007,Île-du-Prince-Édouard,110,Fabrication du papier
2007,Île-du-Prince-Édouard,30,Activités de soutien à la foresterie
2007,Île-du-Prince-Édouard,255,Fabrication de produits en bois
2007,Québec,11745,Foresterie et exploitation forestière
2007,Québec,25035,Fabrication du papier
2007,Québec,5000,Activités de soutien à la foresterie
2007,Québec,32010,Fabrication de produits en bois
2007,Saskatchewan,495,Foresterie et exploitation forestière
2007,Saskatchewan,405,Fabrication du papier
2007,Saskatchewan,1145,Activités de soutien à la foresterie
2007,Saskatchewan,1385,Fabrication de produits en bois
2007,Yukon,20,Foresterie et exploitation forestière
2007,Yukon,0,Fabrication du papier
2007,Yukon,10,Activités de soutien à la foresterie
2007,Yukon,15,Fabrication de produits en bois
2008,Canada,42105,Foresterie et exploitation forestière
2008,Canada,70290,Fabrication du papier
2008,Canada,20765,Activités de soutien à la foresterie
2008,Canada,101955,Fabrication de produits en bois
2008,Alberta,2540,Foresterie et exploitation forestière
2008,Alberta,3115,Fabrication du papier
2008,Alberta,1940,Activités de soutien à la foresterie
