Année,Juridiction,Industrie,Produit,Valeur (1 000 dollars)
2016,Nouveau-Brunswick,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,1834218
2016,Nouveau-Brunswick,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,519948
2016,Nouveau-Brunswick,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,1314270
2016,Terre-Neuve-et-Labrador,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2016,Terre-Neuve-et-Labrador,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2016,Terre-Neuve-et-Labrador,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2016,Territoires du Nord-Ouest,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2016,Territoires du Nord-Ouest,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2016,Territoires du Nord-Ouest,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2016,Nouvelle-Écosse,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2016,Nouvelle-Écosse,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2016,Nouvelle-Écosse,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2016,Nunavut,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2016,Nunavut,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2016,Nunavut,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2016,Ontario,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,7703566
2016,Ontario,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,5117455
2016,Ontario,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,2586111
2016,Île-du-Prince-Édouard,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2016,Île-du-Prince-Édouard,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2016,Île-du-Prince-Édouard,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2016,Québec,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,8574857
2016,Québec,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,3068890
2016,Québec,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,5505967
2016,Saskatchewan,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2016,Saskatchewan,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2016,Saskatchewan,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2016,Yukon,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2016,Yukon,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2016,Yukon,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2017,Canada,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,27736303
2017,Canada,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,10580368
2017,Canada,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,17155935
2017,Alberta,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2017,Alberta,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2017,Alberta,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2017,Colombie-Britannique,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,4780187
2017,Colombie-Britannique,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,400595
2017,Colombie-Britannique,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,4379592
2017,Manitoba,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2017,Manitoba,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2017,Manitoba,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2017,Nouveau-Brunswick,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,1928227
2017,Nouveau-Brunswick,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,535636
2017,Nouveau-Brunswick,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,1392591
2017,Terre-Neuve-et-Labrador,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2017,Terre-Neuve-et-Labrador,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2017,Terre-Neuve-et-Labrador,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2017,Territoires du Nord-Ouest,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2017,Territoires du Nord-Ouest,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2017,Territoires du Nord-Ouest,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2017,Nouvelle-Écosse,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2017,Nouvelle-Écosse,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2017,Nouvelle-Écosse,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2017,Nunavut,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2017,Nunavut,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2017,Nunavut,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2017,Ontario,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,8280234
2017,Ontario,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,5626824
2017,Ontario,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,2653410
2017,Île-du-Prince-Édouard,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2017,Île-du-Prince-Édouard,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2017,Île-du-Prince-Édouard,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2017,Québec,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,8901453
2017,Québec,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,3161436
2017,Québec,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,5740017
2017,Saskatchewan,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2017,Saskatchewan,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2017,Saskatchewan,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2017,Yukon,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2017,Yukon,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2017,Yukon,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2018,Canada,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,30784336
2018,Canada,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,10997510
2018,Canada,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,19786826
2018,Alberta,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2018,Alberta,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2018,Alberta,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2018,Colombie-Britannique,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,5624562
2018,Colombie-Britannique,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,405641
2018,Colombie-Britannique,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,5218921
2018,Manitoba,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2018,Manitoba,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2018,Manitoba,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2018,Nouveau-Brunswick,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,2108889
2018,Nouveau-Brunswick,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,550341
2018,Nouveau-Brunswick,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,1558548
2018,Terre-Neuve-et-Labrador,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2018,Terre-Neuve-et-Labrador,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2018,Terre-Neuve-et-Labrador,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2018,Territoires du Nord-Ouest,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2018,Territoires du Nord-Ouest,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2018,Territoires du Nord-Ouest,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
