Année,Juridiction,Type de commerce,Groupe de produits de base,Produit,Quantité
2014,Canada,Importations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",290214
2014,Canada,Importations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),832015
2014,Canada,Importations,Produits fabriqués en bois,Grumes (mètres cubes),45871
2014,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),134355
2014,Canada,Importations,Produits fabriqués en bois,Panneau de particules (mètres cubes),972980
2014,Canada,Importations,Produits fabriqués en bois,Contreplaqué (mètres cubes),1900979
2014,Canada,Importations,Produits fabriqués en bois,Bois à pâte (mètres cubes),6237
2014,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",1298082
2014,Canada,Importations,Produits fabriqués en bois,Placage (mètres carrés),61637760
2015,Canada,Importations,Produits bruts du bois,Grumes (mètres cubes),4430996
2015,Canada,Importations,Produits bruts du bois,Bois à pâte (mètres cubes),576150
2015,Canada,Importations,Produits de pâtes et papiers,Papier journal (tonnes),59850
2015,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),2639790
2015,Canada,Importations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",332685
2015,Canada,Importations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),1114455
2015,Canada,Importations,Produits fabriqués en bois,Grumes (mètres cubes),61534
2015,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),182740
2015,Canada,Importations,Produits fabriqués en bois,Panneau de particules (mètres cubes),888212
2015,Canada,Importations,Produits fabriqués en bois,Contreplaqué (mètres cubes),4082246
2015,Canada,Importations,Produits fabriqués en bois,Bois à pâte (mètres cubes),5011
2015,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",1514137
2015,Canada,Importations,Produits fabriqués en bois,Placage (mètres carrés),56668731
2016,Canada,Importations,Produits bruts du bois,Grumes (mètres cubes),4025275
2016,Canada,Importations,Produits bruts du bois,Bois à pâte (mètres cubes),575531
2016,Canada,Importations,Produits de pâtes et papiers,Papier journal (tonnes),49708
2016,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),2610404
2016,Canada,Importations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",445835
2016,Canada,Importations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),584703
2016,Canada,Importations,Produits fabriqués en bois,Grumes (mètres cubes),33044
2016,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),131964
2016,Canada,Importations,Produits fabriqués en bois,Panneau de particules (mètres cubes),590075
2016,Canada,Importations,Produits fabriqués en bois,Contreplaqué (mètres cubes),1272502
2016,Canada,Importations,Produits fabriqués en bois,Bois à pâte (mètres cubes),2016
2016,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",1185417
2016,Canada,Importations,Produits fabriqués en bois,Placage (mètres carrés),65408323
2017,Canada,Importations,Produits bruts du bois,Grumes (mètres cubes),4041428
2017,Canada,Importations,Produits bruts du bois,Bois à pâte (mètres cubes),278437
2017,Canada,Importations,Produits de pâtes et papiers,Papier journal (tonnes),34751
2017,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),2668886
2017,Canada,Importations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",412374
2017,Canada,Importations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),625653
2017,Canada,Importations,Produits fabriqués en bois,Grumes (mètres cubes),39372
2017,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),148892
2017,Canada,Importations,Produits fabriqués en bois,Panneau de particules (mètres cubes),608012
2017,Canada,Importations,Produits fabriqués en bois,Contreplaqué (mètres cubes),1874200
2017,Canada,Importations,Produits fabriqués en bois,Bois à pâte (mètres cubes),435
2017,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",1027628
2017,Canada,Importations,Produits fabriqués en bois,Placage (mètres carrés),66805770
2018,Canada,Importations,Produits bruts du bois,Grumes (mètres cubes),3769525
2018,Canada,Importations,Produits bruts du bois,Bois à pâte (mètres cubes),534279
2018,Canada,Importations,Produits de pâtes et papiers,Papier journal (tonnes),26556
2018,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),2674678
2018,Canada,Importations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",554015
2018,Canada,Importations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),638037
2018,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),129090
2018,Canada,Importations,Produits fabriqués en bois,Panneau de particules (mètres cubes),410929
2018,Canada,Importations,Produits fabriqués en bois,Contreplaqué (mètres cubes),1591200
2018,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",1029296
2018,Canada,Importations,Produits fabriqués en bois,Placage (mètres carrés),67745285
2019,Canada,Importations,Produits bruts du bois,Grumes (mètres cubes),3455838
2019,Canada,Importations,Produits bruts du bois,Bois à pâte (mètres cubes),786132
2019,Canada,Importations,Produits de pâtes et papiers,Papier journal (tonnes),26813
2019,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),2481433
2019,Canada,Importations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",814666
2019,Canada,Importations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),597672
2019,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),142259
2019,Canada,Importations,Produits fabriqués en bois,Panneau de particules (mètres cubes),365867
2019,Canada,Importations,Produits fabriqués en bois,Contreplaqué (mètres cubes),1368005
2019,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",869807
2019,Canada,Importations,Produits fabriqués en bois,Placage (mètres carrés),74767968
2020,Canada,Importations,Produits bruts du bois,Grumes (mètres cubes),2893662
2020,Canada,Importations,Produits bruts du bois,Bois à pâte (mètres cubes),890325
2020,Canada,Importations,Produits de pâtes et papiers,Papier journal (tonnes),27358
2020,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),2356731
2020,Canada,Importations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",637996
2020,Canada,Importations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),480717
2020,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),128264
2020,Canada,Importations,Produits fabriqués en bois,Panneau de particules (mètres cubes),381360
2020,Canada,Importations,Produits fabriqués en bois,Contreplaqué (mètres cubes),1100368
2020,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",865702
2020,Canada,Importations,Produits fabriqués en bois,Placage (mètres carrés),57679099
2021,Canada,Importations,Produits bruts du bois,Grumes (mètres cubes),2971441
2021,Canada,Importations,Produits bruts du bois,Bois à pâte (mètres cubes),836481
2021,Canada,Importations,Produits de pâtes et papiers,Papier journal (tonnes),15546
2021,Canada,Importations,Produits de pâtes et papiers,Autres papiers et cartons (tonnes),2485637
2021,Canada,Importations,Produits de pâtes et papiers,"Pâte de bois (tonnes métriques séchées à l'air)",1020929
2021,Canada,Importations,Produits fabriqués en bois,Bois de feuillus (mètres cubes),625296
2021,Canada,Importations,Produits fabriqués en bois,Panneaux de particules orientées (mètres cubes),123936
2021,Canada,Importations,Produits fabriqués en bois,Panneau de particules (mètres cubes),484685
2021,Canada,Importations,Produits fabriqués en bois,Contreplaqué (mètres cubes),1425646
2021,Canada,Importations,Produits fabriqués en bois,"Bois d'œuvre résineux (mètres cubes)",1029906
2021,Canada,Importations,Produits fabriqués en bois,Placage (mètres carrés),73148568
2022,Canada,Importations,Produits bruts du bois,Grumes (mètres cubes),2569675
