Année,Juridiction,Secteur,Employé(e)s
2005,Ontario,Activités de soutien à la foresterie,1207
2005,Ontario,Fabrication de produits en bois,27446
2005,Île-du-Prince-Édouard,Foresterie et exploitation forestière,0
2005,Île-du-Prince-Édouard,Fabrication du papier,0
2005,Île-du-Prince-Édouard,Activités de soutien à la foresterie,0
2005,Île-du-Prince-Édouard,Fabrication de produits en bois,0
2005,Québec,Foresterie et exploitation forestière,13644
2005,Québec,Fabrication du papier,29706
2005,Québec,Activités de soutien à la foresterie,3657
2005,Québec,Fabrication de produits en bois,44546
2005,Saskatchewan,Foresterie et exploitation forestière,733
2005,Saskatchewan,Fabrication du papier,0
2005,Saskatchewan,Activités de soutien à la foresterie,769
2005,Saskatchewan,Fabrication de produits en bois,1980
2005,Yukon,Foresterie et exploitation forestière,0
2005,Yukon,Fabrication du papier,0
2005,Yukon,Activités de soutien à la foresterie,0
2005,Yukon,Fabrication de produits en bois,0
2006,Canada,Foresterie et exploitation forestière,42290
2006,Canada,Fabrication du papier,83810
2006,Canada,Activités de soutien à la foresterie,13771
2006,Canada,Fabrication de produits en bois,131471
2006,Alberta,Foresterie et exploitation forestière,2769
2006,Alberta,Fabrication du papier,3751
2006,Alberta,Activités de soutien à la foresterie,1707
2006,Alberta,Fabrication de produits en bois,13124
2006,Colombie-Britannique,Foresterie et exploitation forestière,14952
2006,Colombie-Britannique,Fabrication du papier,12234
2006,Colombie-Britannique,Activités de soutien à la foresterie,4545
2006,Colombie-Britannique,Fabrication de produits en bois,34195
2006,Manitoba,Foresterie et exploitation forestière,0
2006,Manitoba,Fabrication du papier,1743
2006,Manitoba,Activités de soutien à la foresterie,0
2006,Manitoba,Fabrication de produits en bois,4119
2006,Nouveau-Brunswick,Foresterie et exploitation forestière,2340
2006,Nouveau-Brunswick,Fabrication du papier,3627
2006,Nouveau-Brunswick,Activités de soutien à la foresterie,0
2006,Nouveau-Brunswick,Fabrication de produits en bois,5970
2006,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,0
2006,Terre-Neuve-et-Labrador,Fabrication du papier,0
