Year,Jurisdiction,Cause,Area (hectares),Number
2015,Northwest Territories,Human activity,4,15
2015,Northwest Territories,Natural cause,722103,242
2016,Northwest Territories,Human activity,7819,16
2016,Northwest Territories,Natural cause,247705,176
2016,Northwest Territories,Unspecified,0,1
2017,Northwest Territories,Human activity,11,19
2017,Northwest Territories,Natural cause,1033066,249
2018,Northwest Territories,Human activity,170,6
2018,Northwest Territories,Natural cause,19214,56
2018,Northwest Territories,Unspecified,298,1
2019,Northwest Territories,Human activity,5,20
2019,Northwest Territories,Natural cause,105163,126
2019,Northwest Territories,Unspecified,0,1
2020,Northwest Territories,Human activity,371,19
2020,Northwest Territories,Natural cause,20768,51
2021,Northwest Territories,Human activity,9,17
2021,Northwest Territories,Natural cause,197543,134
2022,Northwest Territories,Human activity,59,33
2022,Northwest Territories,Natural cause,603950,240
2022,Northwest Territories,Unspecified,23,1
2023,Northwest Territories,Human activity,3720,28
2023,Northwest Territories,Natural cause,4233380,285
2023,Northwest Territories,Unspecified,1821,2
2024,Northwest Territories,Human activity,7339,28
2024,Northwest Territories,Natural cause,1691704,150
2000,Nova Scotia,Human activity,301,163
2000,Nova Scotia,Natural cause,2,8
2000,Nova Scotia,Unspecified,185,41
2001,Nova Scotia,Human activity,471,425
2001,Nova Scotia,Natural cause,8,16
2001,Nova Scotia,Unspecified,50,48
2002,Nova Scotia,Human activity,191,224
2002,Nova Scotia,Natural cause,10,16
2002,Nova Scotia,Unspecified,11,30
2003,Nova Scotia,Human activity,1236,254
2003,Nova Scotia,Natural cause,0,4
2003,Nova Scotia,Unspecified,21,14
2004,Nova Scotia,Human activity,288,250
2004,Nova Scotia,Natural cause,0,4
2004,Nova Scotia,Unspecified,2,5
2005,Nova Scotia,Human activity,472,261
2005,Nova Scotia,Natural cause,0,4
2005,Nova Scotia,Unspecified,23,24
2006,Nova Scotia,Human activity,1562,203
2006,Nova Scotia,Unspecified,484,13
2007,Nova Scotia,Human activity,510,324
2007,Nova Scotia,Natural cause,0,2
2007,Nova Scotia,Unspecified,181,61
2008,Nova Scotia,Human activity,2638,212
2008,Nova Scotia,Natural cause,0,1
2008,Nova Scotia,Unspecified,62,35
2009,Nova Scotia,Human activity,891,162
2009,Nova Scotia,Unspecified,25,29
2010,Nova Scotia,Human activity,3,2
2010,Nova Scotia,Unspecified,436,248
2011,Nova Scotia,Unspecified,150,114
2012,Nova Scotia,Natural cause,3,1
2012,Nova Scotia,Unspecified,362,352
2013,Nova Scotia,Human activity,301,160
2013,Nova Scotia,Natural cause,0,1
2013,Nova Scotia,Unspecified,6,13
2014,Nova Scotia,Human activity,537,157
2014,Nova Scotia,Unspecified,28,15
2015,Nova Scotia,Human activity,545,237
2015,Nova Scotia,Unspecified,5,12
2016,Nova Scotia,Human activity,779,248
2016,Nova Scotia,Natural cause,18,11
2016,Nova Scotia,Unspecified,10,12
