Year,Jurisdiction,Trade Type,Commodity Group,Product,Quantity
2013,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2591508
2013,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),250579
2013,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),1055381
2013,Canada,Imports,Wood-Fabricated Materials,Logs (cubic metres),60594
2013,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),95013
2013,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),835064
2013,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),1424859
2013,Canada,Imports,Wood-Fabricated Materials,Pulpwood (cubic metres),700
2013,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),1534493
2013,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),66963933
2014,Canada,Imports,Primary Wood Products,Logs (cubic metres),3874184
2014,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),679859
2014,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),66317
2014,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2604735
2014,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),290214
2014,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),832015
2014,Canada,Imports,Wood-Fabricated Materials,Logs (cubic metres),45871
2014,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),134355
2014,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),972980
2014,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),1900979
2014,Canada,Imports,Wood-Fabricated Materials,Pulpwood (cubic metres),6237
2014,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),1298082
2014,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),61637760
2015,Canada,Imports,Primary Wood Products,Logs (cubic metres),4430996
2015,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),576150
2015,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),59850
2015,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2639790
2015,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),332685
2015,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),1114455
2015,Canada,Imports,Wood-Fabricated Materials,Logs (cubic metres),61534
2015,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),182740
2015,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),888212
2015,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),4082246
2015,Canada,Imports,Wood-Fabricated Materials,Pulpwood (cubic metres),5011
2015,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),1514137
2015,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),56668731
2016,Canada,Imports,Primary Wood Products,Logs (cubic metres),4025275
2016,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),575531
2016,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),49708
2016,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2610404
2016,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),445835
2016,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),584703
2016,Canada,Imports,Wood-Fabricated Materials,Logs (cubic metres),33044
2016,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),131964
2016,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),590075
2016,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),1272502
2016,Canada,Imports,Wood-Fabricated Materials,Pulpwood (cubic metres),2016
2016,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),1185417
2016,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),65408323
2017,Canada,Imports,Primary Wood Products,Logs (cubic metres),4041428
2017,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),278437
2017,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),34751
2017,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2668886
2017,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),412374
2017,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),625653
2017,Canada,Imports,Wood-Fabricated Materials,Logs (cubic metres),39372
2017,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),148892
2017,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),608012
2017,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),1874200
2017,Canada,Imports,Wood-Fabricated Materials,Pulpwood (cubic metres),435
2017,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),1027628
2017,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),66805770
2018,Canada,Imports,Primary Wood Products,Logs (cubic metres),3769525
2018,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),534279
2018,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),26556
2018,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2674678
2018,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),554015
2018,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),638037
2018,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),129090
2018,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),410929
2018,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),1591200
2018,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),1029296
2018,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),67745285
2019,Canada,Imports,Primary Wood Products,Logs (cubic metres),3455838
2019,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),786132
2019,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),26813
2019,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2481433
2019,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),814666
2019,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),597672
2019,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),142259
2019,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),365867
2019,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),1368005
2019,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),869807
2019,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),74767968
