Year,Jurisdiction,Trade Type,Commodity Group,Product,Value (dollars)
2017,Canada,Imports,Wood-Fabricated Materials,Pulpwood,223111
2017,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,268500045
2017,Canada,Imports,Wood-Fabricated Materials,Veneer,168235144
2018,Canada,Imports,Primary Wood Products,Logs,361563443
2018,Canada,Imports,Primary Wood Products,Pulpwood,49303839
2018,Canada,Imports,Pulp and Paper Products,Newsprint,27768913
2018,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,3587400393
2018,Canada,Imports,Pulp and Paper Products,Wood pulp,326642696
2018,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,347522962
2018,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,44452726
2018,Canada,Imports,Wood-Fabricated Materials,Particleboard,90595613
2018,Canada,Imports,Wood-Fabricated Materials,Plywood,547211616
2018,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,279023503
2018,Canada,Imports,Wood-Fabricated Materials,Veneer,182830624
2019,Canada,Imports,Primary Wood Products,Logs,331351223
2019,Canada,Imports,Primary Wood Products,Pulpwood,64981626
2019,Canada,Imports,Pulp and Paper Products,Newsprint,25281049
2019,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,3508527406
2019,Canada,Imports,Pulp and Paper Products,Wood pulp,336490621
2019,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,337777964
2019,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,54644860
2019,Canada,Imports,Wood-Fabricated Materials,Particleboard,108984538
2019,Canada,Imports,Wood-Fabricated Materials,Plywood,499681194
2019,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,247436913
2019,Canada,Imports,Wood-Fabricated Materials,Veneer,170730679
2020,Canada,Imports,Primary Wood Products,Logs,274201895
2020,Canada,Imports,Primary Wood Products,Pulpwood,70238844
2020,Canada,Imports,Pulp and Paper Products,Newsprint,19411954
2020,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,3236518045
2020,Canada,Imports,Pulp and Paper Products,Wood pulp,322926142
2020,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,282240988
2020,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,58084412
2020,Canada,Imports,Wood-Fabricated Materials,Particleboard,130499408
2020,Canada,Imports,Wood-Fabricated Materials,Plywood,495605217
2020,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,262375033
2020,Canada,Imports,Wood-Fabricated Materials,Veneer,157859345
2021,Canada,Imports,Primary Wood Products,Logs,309684173
2021,Canada,Imports,Primary Wood Products,Pulpwood,62427932
2021,Canada,Imports,Pulp and Paper Products,Newsprint,14180217
2021,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,3520013098
2021,Canada,Imports,Pulp and Paper Products,Wood pulp,361465060
2021,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,436967131
2021,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,72597350
2021,Canada,Imports,Wood-Fabricated Materials,Particleboard,170223468
2021,Canada,Imports,Wood-Fabricated Materials,Plywood,786423214
2021,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,434934072
2021,Canada,Imports,Wood-Fabricated Materials,Veneer,191919961
2022,Canada,Imports,Primary Wood Products,Logs,313585114
2022,Canada,Imports,Primary Wood Products,Plywood,3855437
2022,Canada,Imports,Primary Wood Products,Pulpwood,72849907
2022,Canada,Imports,Pulp and Paper Products,Newsprint,5476327
2022,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,4459117245
2022,Canada,Imports,Pulp and Paper Products,Wood pulp,454645402
2022,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,451272831
2022,Canada,Imports,Wood-Fabricated Materials,Logs,39893901
2022,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,79184102
