Year,Jurisdiction,Trade Type,Commodity Group,Product,Value (dollars)
2018,Canada,Exports,Pulp and Paper Products,Other paper and paperboard,5287129506
2018,Canada,Exports,Pulp and Paper Products,Wood pulp,9362347395
2018,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber,397781886
2018,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard,2252151820
2018,Canada,Exports,Wood-Fabricated Materials,Particleboard,336468446
2018,Canada,Exports,Wood-Fabricated Materials,Plywood,497775007
2018,Canada,Exports,Wood-Fabricated Materials,Softwood lumber,10224325396
2018,Canada,Exports,Wood-Fabricated Materials,Veneer,425896741
2019,Canada,Exports,Primary Wood Products,Logs,770763465
2019,Canada,Exports,Primary Wood Products,Pulpwood,39512800
2019,Canada,Exports,Pulp and Paper Products,Newsprint,1859781955
2019,Canada,Exports,Pulp and Paper Products,Other paper and paperboard,5095775418
2019,Canada,Exports,Pulp and Paper Products,Wood pulp,7701821503
2019,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber,420663689
2019,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard,1537866520
2019,Canada,Exports,Wood-Fabricated Materials,Particleboard,353979935
2019,Canada,Exports,Wood-Fabricated Materials,Plywood,484752127
2019,Canada,Exports,Wood-Fabricated Materials,Softwood lumber,7964554158
2019,Canada,Exports,Wood-Fabricated Materials,Veneer,354867952
2020,Canada,Exports,Primary Wood Products,Logs,435313947
2020,Canada,Exports,Primary Wood Products,Pulpwood,31005704
2020,Canada,Exports,Pulp and Paper Products,Newsprint,1289787785
2020,Canada,Exports,Pulp and Paper Products,Other paper and paperboard,4492679653
2020,Canada,Exports,Pulp and Paper Products,Wood pulp,6420505185
2020,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber,346639770
2020,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard,2377865179
2020,Canada,Exports,Wood-Fabricated Materials,Particleboard,297009654
2020,Canada,Exports,Wood-Fabricated Materials,Plywood,494462899
2020,Canada,Exports,Wood-Fabricated Materials,Softwood lumber,10042965155
2020,Canada,Exports,Wood-Fabricated Materials,Veneer,353964996
2021,Canada,Exports,Primary Wood Products,Logs,622556573
2021,Canada,Exports,Primary Wood Products,Pulpwood,27097046
