Year,Jurisdiction,Industry,Product,"Value (1,000 dollars)"
2015,Yukon,Wood product manufacturing,Sawmills and wood preservation,0
2015,Yukon,Wood product manufacturing,Veneer plywood and engineered wood product,0
2015,Yukon,Wood product manufacturing,Other wood product manufacturing,0
2016,Canada,Wood product manufacturing,Total wood product manufacturing,51555937
2016,Canada,Wood product manufacturing,Sawmills and wood preservation,30497474
2016,Canada,Wood product manufacturing,Veneer plywood and engineered wood product,13070260
2016,Canada,Wood product manufacturing,Other wood product manufacturing,7988203
2016,Alberta,Wood product manufacturing,Total wood product manufacturing,6610111
2016,Alberta,Wood product manufacturing,Sawmills and wood preservation,3592436
2016,Alberta,Wood product manufacturing,Veneer plywood and engineered wood product,2290548
2016,Alberta,Wood product manufacturing,Other wood product manufacturing,727127
2016,British Columbia,Wood product manufacturing,Total wood product manufacturing,19033696
2016,British Columbia,Wood product manufacturing,Sawmills and wood preservation,13848346
2016,British Columbia,Wood product manufacturing,Veneer plywood and engineered wood product,3234500
2016,British Columbia,Wood product manufacturing,Other wood product manufacturing,1950850
2016,Manitoba,Wood product manufacturing,Total wood product manufacturing,78720
2016,Manitoba,Wood product manufacturing,Sawmills and wood preservation,0
2016,Manitoba,Wood product manufacturing,Veneer plywood and engineered wood product,78720
2016,Manitoba,Wood product manufacturing,Other wood product manufacturing,0
2016,New Brunswick,Wood product manufacturing,Total wood product manufacturing,584776
2016,New Brunswick,Wood product manufacturing,Sawmills and wood preservation,0
2016,New Brunswick,Wood product manufacturing,Veneer plywood and engineered wood product,584776
2016,New Brunswick,Wood product manufacturing,Other wood product manufacturing,0
2016,Newfoundland and Labrador,Wood product manufacturing,Total wood product manufacturing,0
2016,Newfoundland and Labrador,Wood product manufacturing,Sawmills and wood preservation,0
2016,Newfoundland and Labrador,Wood product manufacturing,Veneer plywood and engineered wood product,0
2016,Newfoundland and Labrador,Wood product manufacturing,Other wood product manufacturing,0
2016,Northwest Territories,Wood product manufacturing,Total wood product manufacturing,0
2016,Northwest Territories,Wood product manufacturing,Sawmills and wood preservation,0
2016,Northwest Territories,Wood product manufacturing,Veneer plywood and engineered wood product,0
2016,Northwest Territories,Wood product manufacturing,Other wood product manufacturing,0
2016,Nova Scotia,Wood product manufacturing,Total wood product manufacturing,129346
2016,Nova Scotia,Wood product manufacturing,Sawmills and wood preservation,0
2016,Nova Scotia,Wood product manufacturing,Veneer plywood and engineered wood product,129346
2016,Nova Scotia,Wood product manufacturing,Other wood product manufacturing,0
2016,Nunavut,Wood product manufacturing,Total wood product manufacturing,0
2016,Nunavut,Wood product manufacturing,Sawmills and wood preservation,0
2016,Nunavut,Wood product manufacturing,Veneer plywood and engineered wood product,0
2016,Nunavut,Wood product manufacturing,Other wood product manufacturing,0
2016,Ontario,Wood product manufacturing,Total wood product manufacturing,7129887
2016,Ontario,Wood product manufacturing,Sawmills and wood preservation,2723426
2016,Ontario,Wood product manufacturing,Veneer plywood and engineered wood product,2552662
