Year,Jurisdiction,Insect species,Defoliated area (hectares)
2012,British Columbia,Jack pine budworm,0
2012,British Columbia,Large aspen tortrix,575
2012,British Columbia,Mountain pine beetle,3016228
2012,British Columbia,Spongy moth,0
2012,British Columbia,Spruce beetle,42862
2012,British Columbia,Spruce budworm,0
2012,British Columbia,Swaine jack pine sawfly,0
2012,British Columbia,Two-year-cycle spruce budworm,74891
2012,British Columbia,Western spruce budworm,456745
2013,British Columbia,Aspen twoleaf tier,0
2013,British Columbia,Balsam fir sawfly,0
2013,British Columbia,Blackheaded budworm,30700
2013,British Columbia,Bruce spanworm,0
2013,British Columbia,Forest tent caterpillar,581910
2013,British Columbia,Hemlock looper,2020
2013,British Columbia,Jack pine budworm,0
2013,British Columbia,Large aspen tortrix,2184
2013,British Columbia,Mountain pine beetle,2973935
2013,British Columbia,Spongy moth,0
2013,British Columbia,Spruce beetle,18693
2013,British Columbia,Spruce budworm,0
2013,British Columbia,Swaine jack pine sawfly,0
2013,British Columbia,Two-year-cycle spruce budworm,88760
2013,British Columbia,Western spruce budworm,128037
2014,British Columbia,Aspen twoleaf tier,0
2014,British Columbia,Balsam fir sawfly,0
2014,British Columbia,Blackheaded budworm,4238
2014,British Columbia,Bruce spanworm,0
2014,British Columbia,Forest tent caterpillar,711297
2014,British Columbia,Hemlock looper,0
2014,British Columbia,Jack pine budworm,0
2014,British Columbia,Large aspen tortrix,937962
2014,British Columbia,Mountain pine beetle,2208687
2014,British Columbia,Spongy moth,0
2014,British Columbia,Spruce beetle,288892
2014,British Columbia,Spruce budworm,0
2014,British Columbia,Swaine jack pine sawfly,0
2014,British Columbia,Two-year-cycle spruce budworm,164979
2014,British Columbia,Western spruce budworm,44608
2015,British Columbia,Aspen twoleaf tier,0
2015,British Columbia,Balsam fir sawfly,0
2015,British Columbia,Blackheaded budworm,301
2015,British Columbia,Bruce spanworm,22452
2015,British Columbia,Forest tent caterpillar,609999
2015,British Columbia,Hemlock looper,0
2015,British Columbia,Jack pine budworm,0
2015,British Columbia,Large aspen tortrix,0
2015,British Columbia,Mountain pine beetle,326477
2015,British Columbia,Spongy moth,0
2015,British Columbia,Spruce beetle,194050
2015,British Columbia,Spruce budworm,0
2015,British Columbia,Swaine jack pine sawfly,0
2015,British Columbia,Two-year-cycle spruce budworm,0
2015,British Columbia,Western spruce budworm,9135
2016,British Columbia,Aspen twoleaf tier,0
2016,British Columbia,Balsam fir sawfly,0
2016,British Columbia,Blackheaded budworm,209
2016,British Columbia,Bruce spanworm,241
2016,British Columbia,Forest tent caterpillar,183597
2016,British Columbia,Hemlock looper,0
2016,British Columbia,Jack pine budworm,0
2016,British Columbia,Large aspen tortrix,0
2016,British Columbia,Mountain pine beetle,177706
2016,British Columbia,Spongy moth,0
2016,British Columbia,Spruce beetle,281497
2016,British Columbia,Spruce budworm,250
2016,British Columbia,Swaine jack pine sawfly,0
2016,British Columbia,Two-year-cycle spruce budworm,160143
2016,British Columbia,Western spruce budworm,3426
2017,British Columbia,Aspen twoleaf tier,0
2017,British Columbia,Balsam fir sawfly,0
2017,British Columbia,Blackheaded budworm,0
2017,British Columbia,Bruce spanworm,4456
2017,British Columbia,Forest tent caterpillar,0
2017,British Columbia,Hemlock looper,0
2017,British Columbia,Jack pine budworm,0
2017,British Columbia,Large aspen tortrix,1521
2017,British Columbia,Mountain pine beetle,119089
2017,British Columbia,Spongy moth,0
2017,British Columbia,Spruce beetle,501873
2017,British Columbia,Spruce budworm,756
2017,British Columbia,Swaine jack pine sawfly,0
2017,British Columbia,Two-year-cycle spruce budworm,376100
2017,British Columbia,Western spruce budworm,704
2018,British Columbia,Aspen twoleaf tier,0
2018,British Columbia,Balsam fir sawfly,0
2018,British Columbia,Blackheaded budworm,0
2018,British Columbia,Bruce spanworm,1317041
2018,British Columbia,Forest tent caterpillar,0
2018,British Columbia,Hemlock looper,0
2018,British Columbia,Jack pine budworm,0
2018,British Columbia,Large aspen tortrix,151
2018,British Columbia,Mountain pine beetle,113781
2018,British Columbia,Spongy moth,0
2018,British Columbia,Spruce beetle,340405
2018,British Columbia,Spruce budworm,0
2018,British Columbia,Swaine jack pine sawfly,0
2018,British Columbia,Two-year-cycle spruce budworm,0
2018,British Columbia,Western spruce budworm,22634
2019,British Columbia,Aspen twoleaf tier,0
2019,British Columbia,Balsam fir sawfly,0
2019,British Columbia,Blackheaded budworm,370
2019,British Columbia,Bruce spanworm,751
2019,British Columbia,Forest tent caterpillar,0
2019,British Columbia,Hemlock looper,0
2019,British Columbia,Jack pine budworm,0
2019,British Columbia,Large aspen tortrix,0
2019,British Columbia,Mountain pine beetle,178140
2019,British Columbia,Spongy moth,0
2019,British Columbia,Spruce beetle,515447
2019,British Columbia,Spruce budworm,3885
2019,British Columbia,Swaine jack pine sawfly,0
2019,British Columbia,Two-year-cycle spruce budworm,130205
2019,British Columbia,Western spruce budworm,0
2020,British Columbia,Aspen twoleaf tier,0
2020,British Columbia,Balsam fir sawfly,0
2020,British Columbia,Blackheaded budworm,0
2020,British Columbia,Bruce spanworm,0
2020,British Columbia,Forest tent caterpillar,0
2020,British Columbia,Hemlock looper,0
2020,British Columbia,Jack pine budworm,0
2020,British Columbia,Large aspen tortrix,277057
2020,British Columbia,Mountain pine beetle,111963
2020,British Columbia,Spongy moth,0
2020,British Columbia,Spruce beetle,525271
2020,British Columbia,Spruce budworm,7267
2020,British Columbia,Swaine jack pine sawfly,0
2020,British Columbia,Two-year-cycle spruce budworm,62711
2020,British Columbia,Western spruce budworm,13981
2021,British Columbia,Aspen twoleaf tier,0
2021,British Columbia,Balsam fir sawfly,0
2021,British Columbia,Blackheaded budworm,217
2021,British Columbia,Bruce spanworm,0
2021,British Columbia,Forest tent caterpillar,51
2021,British Columbia,Hemlock looper,0
2021,British Columbia,Jack pine budworm,0
2021,British Columbia,Large aspen tortrix,222339
2021,British Columbia,Mountain pine beetle,73238
2021,British Columbia,Spongy moth,0
2021,British Columbia,Spruce beetle,470668
2021,British Columbia,Spruce budworm,36449
2021,British Columbia,Swaine jack pine sawfly,0
2021,British Columbia,Two-year-cycle spruce budworm,310049
2021,British Columbia,Western spruce budworm,0
2022,British Columbia,Aspen twoleaf tier,0
2022,British Columbia,Balsam fir sawfly,0
2022,British Columbia,Blackheaded budworm,19103
2022,British Columbia,Bruce spanworm,0
2022,British Columbia,Forest tent caterpillar,0
2022,British Columbia,Hemlock looper,37639
2022,British Columbia,Jack pine budworm,0
2022,British Columbia,Large aspen tortrix,12199
2022,British Columbia,Mountain pine beetle,50820
2022,British Columbia,Spongy moth,0
2022,British Columbia,Spruce beetle,143569
2022,British Columbia,Spruce budworm,0
2022,British Columbia,Swaine jack pine sawfly,0
2022,British Columbia,Two-year-cycle spruce budworm,60585
2022,British Columbia,Western spruce budworm,141611
2023,British Columbia,Aspen twoleaf tier,0
2023,British Columbia,Balsam fir sawfly,0
2023,British Columbia,Blackheaded budworm,22155
2023,British Columbia,Bruce spanworm,0
2023,British Columbia,Forest tent caterpillar,0
2023,British Columbia,Hemlock looper,68192
2023,British Columbia,Jack pine budworm,0
2023,British Columbia,Large aspen tortrix,17292
2023,British Columbia,Mountain pine beetle,42845
2023,British Columbia,Spongy moth,0
2023,British Columbia,Spruce beetle,95633
2023,British Columbia,Spruce budworm,3221
2023,British Columbia,Swaine jack pine sawfly,0
2023,British Columbia,Two-year-cycle spruce budworm,284756
2023,British Columbia,Western spruce budworm,319397
2010,Manitoba,Aspen twoleaf tier,0
2010,Manitoba,Balsam fir sawfly,0
2010,Manitoba,Blackheaded budworm,0
2010,Manitoba,Bruce spanworm,0
2010,Manitoba,Forest tent caterpillar,0
2010,Manitoba,Hemlock looper,0
2010,Manitoba,Jack pine budworm,0
2010,Manitoba,Large aspen tortrix,0
2010,Manitoba,Mountain pine beetle,0
2010,Manitoba,Spongy moth,0
2010,Manitoba,Spruce beetle,0
2010,Manitoba,Spruce budworm,40550
2010,Manitoba,Swaine jack pine sawfly,0
2010,Manitoba,Two-year-cycle spruce budworm,0
2010,Manitoba,Western spruce budworm,0
2011,Manitoba,Aspen twoleaf tier,0
2011,Manitoba,Balsam fir sawfly,0
2011,Manitoba,Blackheaded budworm,0
2011,Manitoba,Bruce spanworm,0
2011,Manitoba,Forest tent caterpillar,0
2011,Manitoba,Hemlock looper,0
2011,Manitoba,Jack pine budworm,0
2011,Manitoba,Large aspen tortrix,0
2011,Manitoba,Mountain pine beetle,0
2011,Manitoba,Spongy moth,0
2011,Manitoba,Spruce beetle,0
2011,Manitoba,Spruce budworm,754
2011,Manitoba,Swaine jack pine sawfly,0
2011,Manitoba,Two-year-cycle spruce budworm,0
2011,Manitoba,Western spruce budworm,0
2012,Manitoba,Aspen twoleaf tier,0
2012,Manitoba,Balsam fir sawfly,0
2012,Manitoba,Blackheaded budworm,0
2012,Manitoba,Bruce spanworm,0
2012,Manitoba,Forest tent caterpillar,0
2012,Manitoba,Hemlock looper,0
2012,Manitoba,Jack pine budworm,0
2012,Manitoba,Large aspen tortrix,0
2012,Manitoba,Mountain pine beetle,0
2012,Manitoba,Spongy moth,0
2012,Manitoba,Spruce beetle,0
2012,Manitoba,Spruce budworm,240
2012,Manitoba,Swaine jack pine sawfly,0
2012,Manitoba,Two-year-cycle spruce budworm,0
