Year,Jurisdiction,Sector,Employees
2007,Nova Scotia,Paper manufacturing,1761
2007,Nova Scotia,Support activities for forestry,0
2007,Nova Scotia,Wood product manufacturing,2368
2007,Nunavut,Forestry and logging,0
2007,Nunavut,Paper manufacturing,0
2007,Nunavut,Support activities for forestry,0
2007,Nunavut,Wood product manufacturing,0
2007,Ontario,Forestry and logging,5327
2007,Ontario,Paper manufacturing,27458
2007,Ontario,Support activities for forestry,1004
2007,Ontario,Wood product manufacturing,24572
2007,Prince Edward Island,Forestry and logging,0
2007,Prince Edward Island,Paper manufacturing,0
2007,Prince Edward Island,Support activities for forestry,30
2007,Prince Edward Island,Wood product manufacturing,0
2007,Quebec,Forestry and logging,11885
2007,Quebec,Paper manufacturing,27370
2007,Quebec,Support activities for forestry,3455
2007,Quebec,Wood product manufacturing,37911
2007,Saskatchewan,Forestry and logging,0
2007,Saskatchewan,Paper manufacturing,0
2007,Saskatchewan,Support activities for forestry,0
2007,Saskatchewan,Wood product manufacturing,1572
2007,Yukon,Forestry and logging,0
2007,Yukon,Paper manufacturing,0
2007,Yukon,Support activities for forestry,0
2007,Yukon,Wood product manufacturing,0
2008,Canada,Forestry and logging,34073
2008,Canada,Paper manufacturing,73520
2008,Canada,Support activities for forestry,11590
2008,Canada,Wood product manufacturing,111621
2008,Alberta,Forestry and logging,2301
2008,Alberta,Paper manufacturing,3355
2008,Alberta,Support activities for forestry,1353
2008,Alberta,Wood product manufacturing,11797
2008,British Columbia,Forestry and logging,12434
2008,British Columbia,Paper manufacturing,10725
2008,British Columbia,Support activities for forestry,4129
2008,British Columbia,Wood product manufacturing,31123
2008,Manitoba,Forestry and logging,0
2008,Manitoba,Paper manufacturing,0
2008,Manitoba,Support activities for forestry,0
2008,Manitoba,Wood product manufacturing,4080
2008,New Brunswick,Forestry and logging,0
2008,New Brunswick,Paper manufacturing,2751
2008,New Brunswick,Support activities for forestry,0
2008,New Brunswick,Wood product manufacturing,4991
2008,Newfoundland and Labrador,Forestry and logging,0
2008,Newfoundland and Labrador,Paper manufacturing,0
2008,Newfoundland and Labrador,Support activities for forestry,0
2008,Newfoundland and Labrador,Wood product manufacturing,0
2008,Northwest Territories,Forestry and logging,0
2008,Northwest Territories,Paper manufacturing,0
2008,Northwest Territories,Support activities for forestry,0
2008,Northwest Territories,Wood product manufacturing,0
2008,Nova Scotia,Forestry and logging,0
2008,Nova Scotia,Paper manufacturing,1927
2008,Nova Scotia,Support activities for forestry,356
2008,Nova Scotia,Wood product manufacturing,2262
2008,Nunavut,Forestry and logging,0
2008,Nunavut,Paper manufacturing,0
2008,Nunavut,Support activities for forestry,0
2008,Nunavut,Wood product manufacturing,0
2008,Ontario,Forestry and logging,4527
2008,Ontario,Paper manufacturing,24948
2008,Ontario,Support activities for forestry,1017
2008,Ontario,Wood product manufacturing,21088
2008,Prince Edward Island,Forestry and logging,0
2008,Prince Edward Island,Paper manufacturing,0
2008,Prince Edward Island,Support activities for forestry,28
2008,Prince Edward Island,Wood product manufacturing,0
2008,Quebec,Forestry and logging,10142
2008,Quebec,Paper manufacturing,26455
2008,Quebec,Support activities for forestry,3305
2008,Quebec,Wood product manufacturing,33962
2008,Saskatchewan,Forestry and logging,376
2008,Saskatchewan,Paper manufacturing,0
2008,Saskatchewan,Support activities for forestry,166
2008,Saskatchewan,Wood product manufacturing,1680
2008,Yukon,Forestry and logging,0
2008,Yukon,Paper manufacturing,0
2008,Yukon,Support activities for forestry,0
2008,Yukon,Wood product manufacturing,0
2009,Canada,Forestry and logging,28392
2009,Canada,Paper manufacturing,66602
2009,Canada,Support activities for forestry,11114
2009,Canada,Wood product manufacturing,90708
2009,Alberta,Forestry and logging,2068
2009,Alberta,Paper manufacturing,3075
2009,Alberta,Support activities for forestry,1190
2009,Alberta,Wood product manufacturing,9273
2009,British Columbia,Forestry and logging,9505
2009,British Columbia,Paper manufacturing,8664
2009,British Columbia,Support activities for forestry,3894
2009,British Columbia,Wood product manufacturing,24786
2009,Manitoba,Forestry and logging,0
2009,Manitoba,Paper manufacturing,1088
2009,Manitoba,Support activities for forestry,0
2009,Manitoba,Wood product manufacturing,3130
2009,New Brunswick,Forestry and logging,0
2009,New Brunswick,Paper manufacturing,2698
2009,New Brunswick,Support activities for forestry,0
2009,New Brunswick,Wood product manufacturing,4036
2009,Newfoundland and Labrador,Forestry and logging,0
2009,Newfoundland and Labrador,Paper manufacturing,0
2009,Newfoundland and Labrador,Support activities for forestry,0
2009,Newfoundland and Labrador,Wood product manufacturing,388
2009,Northwest Territories,Forestry and logging,0
2009,Northwest Territories,Paper manufacturing,0
2009,Northwest Territories,Support activities for forestry,0
2009,Northwest Territories,Wood product manufacturing,0
2009,Nova Scotia,Forestry and logging,1014
2009,Nova Scotia,Paper manufacturing,2154
2009,Nova Scotia,Support activities for forestry,355
2009,Nova Scotia,Wood product manufacturing,2031
2009,Nunavut,Forestry and logging,0
2009,Nunavut,Paper manufacturing,0
2009,Nunavut,Support activities for forestry,0
2009,Nunavut,Wood product manufacturing,0
2009,Ontario,Forestry and logging,3422
2009,Ontario,Paper manufacturing,20410
2009,Ontario,Support activities for forestry,983
2009,Ontario,Wood product manufacturing,15930
2009,Prince Edward Island,Forestry and logging,28
2009,Prince Edward Island,Paper manufacturing,0
2009,Prince Edward Island,Support activities for forestry,35
2009,Prince Edward Island,Wood product manufacturing,0
2009,Quebec,Forestry and logging,9037
2009,Quebec,Paper manufacturing,27354
2009,Quebec,Support activities for forestry,3251
2009,Quebec,Wood product manufacturing,29690
2009,Saskatchewan,Forestry and logging,0
2009,Saskatchewan,Paper manufacturing,0
2009,Saskatchewan,Support activities for forestry,0
2009,Saskatchewan,Wood product manufacturing,1215
2009,Yukon,Forestry and logging,0
2009,Yukon,Paper manufacturing,0
2009,Yukon,Support activities for forestry,0
2009,Yukon,Wood product manufacturing,0
2010,Canada,Forestry and logging,28648
2010,Canada,Paper manufacturing,62988
2010,Canada,Support activities for forestry,11226
2010,Canada,Wood product manufacturing,90198
2010,Alberta,Forestry and logging,2249
2010,Alberta,Paper manufacturing,2957
2010,Alberta,Support activities for forestry,1289
2010,Alberta,Wood product manufacturing,9268
